sample_path|masked_WER|masked_num_wrong_words|total_masked_num_words|true_trans|masked_trans|masked_plcmos|masked_OVRL_raw|masked_SIG_raw|masked_BAK_raw|masked_OVRL|masked_SIG|masked_BAK|masked_P808_MOS|target_OVRL_raw_bigvgan|target_OVRL_raw_hifi_gan|target_SIG_raw_bigvgan|target_SIG_raw_hifi_gan|target_BAK_raw_bigvgan|target_BAK_raw_hifi_gan|target_OVRL_bigvgan|target_OVRL_hifi_gan|target_SIG_bigvgan|target_SIG_hifi_gan|target_BAK_bigvgan|target_BAK_hifi_gan|target_P808_MOS_bigvgan|target_P808_MOS_hifi_gan|OVRL_raw_bigvgan|OVRL_raw_hifi_gan|SIG_raw_bigvgan|SIG_raw_hifi_gan|BAK_raw_bigvgan|BAK_raw_hifi_gan|OVRL_bigvgan|OVRL_hifi_gan|SIG_bigvgan|SIG_hifi_gan|BAK_bigvgan|BAK_hifi_gan|P808_MOS_bigvgan|P808_MOS_hifi_gan|plcmos_target_init_bigvgan|plcmos_target_init_hifi_gan|LSD_init_bigvgan|LSD_init_hifi_gan|STOI_init_bigvgan|STOI_init_hifi_gan|PESQ_init_bigvgan|PESQ_init_hifi_gan|WER_bigvgan|WER_hifi_gan|trans_bigvgan|trans_hifi_gan|num_wrong_words_bigvgan|num_wrong_words_hifi_gan|total_num_words_bigvgan|total_num_words_hifi_gan|plcmos_pred_bigvgan|plcmos_pred_hifi_gan|LSD_bigvgan|LSD_hifi_gan|STOI_bigvgan|STOI_hifi_gan|PESQ_bigvgan|PESQ_hifi_gan|mel_text_false_wer
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1885|9.6774|3|31|it was a serious crime indeed mister watson told them and tom gates bade fair to serve a lengthy term in state is prison as a consequence of his rash act|it was a serious crime indeed mister watson told them and tom gates made it fair to serve a lengthy term in the state is prison as a consequence of his rash act|1.6682|2.4453|2.7575|2.9031|2.3691|2.7332|3.1658|3.6373|3.4554|3.2555|4.0201|3.9368|3.5648|3.3681|3.0925|2.9603|3.5561|3.51|3.667|3.5301|4.0384|3.9299|3.0991|3.2627|4.0825|4.0141|2.9331|3.2655|2.8531|2.9652|3.5898|3.5527|3.191|3.4546|4.0651|4.0303|3.594|3.663|2.818|2.855|0.722|0.764|1.13|1.116|3.226|6.452|it was a serious crime indeed mister watson told them and tom gates bade fair to serve a lengthy term in the state is prison as a consequence of his rash act|it was a serious crime indeed mister watson told them and tom gates bade fair to start a lengthy term in the state is prison as a consequence of his rash act|1|2|31|31|3.601|3.645|1.311|1.502|0.929|0.932|1.842|1.869|3.2258
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_317|9.0909|3|33|on the contrary he resolved to tell them that repenting of his violence and moved by her tears he had only carried her half way towards his house and then let her go|on the contrary he resolved to tell them that repenting of his violence and moved by a tear she had only carried her half way towards his house and then let her go|1.7756|2.9374|3.3938|3.3323|2.7388|3.1814|3.5041|3.8062|4.1378|4.1435|4.3257|4.3548|4.5221|4.5377|3.5031|3.5063|3.715|3.7293|4.1882|4.1947|4.1141|4.2524|4.0472|4.0557|4.2488|4.2768|4.4754|4.4732|3.4523|3.457|3.6764|3.6906|4.1684|4.1674|4.0962|4.132|4.448|4.44|2.83|2.787|0.705|0.711|1.094|1.084|15.152|9.091|on the contrary he resolved to tell them that repenting of his violence and moved by a tear as he had only carried her halfway towards his house and then let her go|on the contrary he resolved to tell them that repenting of his violence and moved by a tears he had only carried her halfway towards his house and then let her go|5|3|33|33|4.509|4.53|1.335|1.512|0.92|0.92|1.876|1.898|0.0
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_2162|3.3333|1|30|we have always thought that it was sometimes a courageous act and at least a simple and useful deed worthy of the sympathetic attention which duty accepted and fulfilled merits|we have always thought that it was sometimes a courageous act and at least a simple and useful deed worthy of the sympathetic attention which duty accepted in fulfilled merits|1.4065|1.635|1.9179|2.0127|1.6882|2.0365|2.3074|3.7701|3.2152|3.21|3.8336|3.7511|3.3709|3.4107|2.9325|2.9293|3.451|3.4031|3.5304|3.56|3.9881|4.0359|3.147|3.4423|3.6991|3.8672|3.37|3.7493|2.8854|3.0833|3.3716|3.47|3.5281|3.7821|3.9423|3.9513|4.135|4.133|2.627|2.673|0.664|0.681|1.146|1.136|0.0|0.0|we have always thought that it was sometimes a courageous act and at least a simple and useful deed worthy of the sympathetic attention which duty accepted and fulfilled merits|we have always thought that it was sometimes a courageous act and at least a simple and useful deed worthy of the sympathetic attention which duty accepted and fulfilled merits|0|0|30|30|3.891|3.954|1.294|1.497|0.927|0.926|2.335|2.352|0.0
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1861|8.3333|3|36|this was the 1st occasion within a generation when such an entertainment had been given at elmhurst and the only one within the memory of man where the neighbors and country people had been invited guests|this was the 1st occasion within a generation when such an entertainment had been given at elmhurst and the only one within the memory of the man were the neighbors and country people had been the invited guests|1.2882|2.3665|2.668|3.2671|2.3037|2.6588|3.4533|3.6862|3.311|3.3726|3.7766|3.8348|3.5422|3.6159|2.9953|3.038|3.416|3.4515|3.6494|3.7007|3.987|4.1419|3.217|3.5207|3.8383|3.943|3.2343|3.7673|2.9277|3.1343|3.4528|3.5131|3.4045|3.7972|3.9392|4.0522|3.598|3.553|2.827|2.804|0.668|0.69|1.117|1.103|5.556|5.556|this was the 1st occasion within a generation when such an entertainment had been given at elmhurst and the only one within the memory of man were the neighbors and country people had been the invited guests|this was the 1st occasion within a generation when such an entertainment had been given at elmhurst and the only one within the memory of man or the neighbors and country people had been the invited guests|2|2|36|36|3.414|3.404|1.368|1.573|0.894|0.892|1.652|1.568|2.7778
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1962|0.0|0|24|the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail|the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail|1.5856|2.1407|2.3761|2.8825|2.1238|2.4319|3.1483|3.5256|4.1418|4.107|4.3507|4.2975|4.5087|4.5152|3.5054|3.486|3.7273|3.701|4.1825|4.1853|4.0219|4.1583|4.1295|4.0928|4.327|4.3328|4.5049|4.4798|3.4985|3.478|3.7156|3.7185|4.1809|4.1703|4.0046|4.1253|4.098|4.39|2.44|2.483|0.702|0.723|1.121|1.119|0.0|0.0|the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail|the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail|0|0|24|24|4.039|4.322|1.254|1.466|0.917|0.92|2.024|2.06|0.0
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_69|0.0|0|27|in the modern well constructed play he simply rings up an imaginary confederate and tells him what he is going to do could anything be more natural|in the modern well constructed play he simply rings up an imaginary confederate and tells him what he is going to do could anything be more natural|1.379|2.5142|3.2253|2.5066|2.4221|3.069|2.8088|3.6047|3.4206|3.1777|4.0182|3.8867|3.4956|3.2121|3.0694|2.9071|3.5549|3.4817|3.6157|3.412|4.1413|3.9574|3.4211|3.1832|4.0986|3.8344|3.3948|3.2747|3.0692|2.9111|3.5982|3.4515|3.5448|3.4612|4.007|3.8792|3.709|3.699|2.474|2.463|0.683|0.701|1.098|1.083|0.0|0.0|in the modern well constructed play he simply rings up an imaginary confederate and tells him what he is going to do could anything be more natural|in the modern well constructed play he simply rings up an imaginary confederate and tells him what he is going to do could anything be more natural|0|0|27|27|3.941|4.05|1.264|1.468|0.92|0.918|1.688|1.695|0.0
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_80|0.0|0|18|he reckoned therefore not only upon ascertaining the extent of the late catastrophe but upon learning its cause|he reckoned therefore not only upon ascertaining the extent of the late catastrophe but upon learning its cause|1.4314|2.5957|2.9174|3.1358|2.485|2.8519|3.3532|3.4742|3.6847|3.5416|4.2358|4.1177|3.7044|3.5264|3.2371|3.1477|3.6698|3.6083|3.7554|3.6409|3.8848|3.9869|3.6688|3.6702|4.206|4.1542|3.7372|3.7196|3.2275|3.2285|3.6545|3.6277|3.7766|3.7664|3.893|3.9107|2.962|3.439|2.502|2.506|0.656|0.699|1.108|1.098|0.0|0.0|he reckoned therefore not only upon ascertaining the extent of the late catastrophe but upon learning its cause|he reckoned therefore not only upon ascertaining the extent of the late catastrophe but upon learning its cause|0|0|18|18|3.034|3.534|1.176|1.388|0.915|0.919|1.949|1.909|0.0
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_304|5.1282|2|39|time rolled on the hour of her delivery arrived it took place in the utmost secrecy her mother taking upon her the office of midwife and she gave birth to a son one of the most beautiful ever seen|time rolled on the hour of her delivery arrived it took place in the utmost secrecy her mother had taken upon her the office of midwife and she gave birth to a son one of the most beautiful ever seen|1.4409|2.3803|2.6547|3.245|2.3167|2.6528|3.4353|3.4321|3.9599|4.0799|4.3259|4.3064|4.1323|4.4667|3.4017|3.4706|3.7151|3.7053|4.0003|4.1637|4.0404|4.0467|3.9585|3.9931|4.2637|4.2322|4.2411|4.3798|3.401|3.4213|3.6837|3.668|4.0593|4.1256|3.9789|3.9811|4.57|4.55|2.855|2.83|0.702|0.731|1.126|1.124|0.0|2.564|time rolled on the hour of her delivery arrived it took place in the utmost secrecy her mother taking upon her the office of midwife and she gave birth to a son one of the most beautiful ever seen|time rolled on the hour of her delivery arrived it took place in the utmost secrecy her mother taking upon her the office of midwife as she gave birth to a son one of the most beautiful ever seen|0|1|39|39|4.485|4.362|1.428|1.559|0.924|0.925|1.865|1.895|0.0
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1816|0.0|0|30|a gramophone by the help of suitable records might relate to us the incidents of its past and people are not so different from gramophones as they like to believe|a gramophone by the help of suitable records might relate to us the incidents of its past and people are not so different from gramophones as they like to believe|1.5498|2.4147|2.667|3.0701|2.3439|2.662|3.3017|3.4426|3.8271|4.0836|4.1534|4.2501|4.1321|4.5083|3.324|3.4728|3.6273|3.6771|4.0049|4.1824|3.9343|4.0972|3.6976|3.9364|4.0537|4.1222|4.031|4.443|3.2454|3.3884|3.5743|3.6107|3.9506|4.1542|4.0572|4.0132|4.149|4.202|2.695|2.723|0.709|0.721|1.146|1.117|3.333|3.333|a gramophone by the help of suitable records might relate to us the incidence of its past and people are not so different from gramophones as they like to believe|a gramophone by the help of suitable records might relate to us the incidence of its past and people are not so different from gramophones as they like to believe|1|1|30|30|4.027|4.2|1.294|1.495|0.934|0.935|1.97|2.045|0.0
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=10_skip=25_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1809|0.0|0|27|this distinction is vital to the understanding of memory but it is not so easy to carry out in practice as it is to draw in theory|this distinction is vital to the understanding of memory but it is not so easy to carry out in practice as it is to draw in theory|1.4282|2.932|3.1871|3.7104|2.7349|3.0432|3.7619|3.3877|4.0327|3.9534|4.2531|4.1439|4.4084|4.4509|3.444|3.3984|3.6786|3.6223|4.1389|4.1577|4.1376|4.1071|3.8148|4.0844|4.15|4.2754|4.1936|4.5611|3.3166|3.4732|3.6255|3.6899|4.0365|4.2043|3.9419|4.0427|4.256|4.397|2.709|2.735|0.649|0.672|1.152|1.126|0.0|0.0|this distinction is vital to the understanding of memory but it is not so easy to carry out in practice as it is to draw in theory|this distinction is vital to the understanding of memory but it is not so easy to carry out in practice as it is to draw in theory|0|0|27|27|4.247|4.254|1.379|1.538|0.904|0.908|1.821|1.939|0.0
