sample_path|masked_WER|masked_num_wrong_words|total_masked_num_words|true_trans|masked_trans|masked_plcmos|masked_OVRL_raw|masked_SIG_raw|masked_BAK_raw|masked_OVRL|masked_SIG|masked_BAK|masked_P808_MOS|target_OVRL_raw_bigvgan|target_OVRL_raw_hifi_gan|target_SIG_raw_bigvgan|target_SIG_raw_hifi_gan|target_BAK_raw_bigvgan|target_BAK_raw_hifi_gan|target_OVRL_bigvgan|target_OVRL_hifi_gan|target_SIG_bigvgan|target_SIG_hifi_gan|target_BAK_bigvgan|target_BAK_hifi_gan|target_P808_MOS_bigvgan|target_P808_MOS_hifi_gan|OVRL_raw_bigvgan|OVRL_raw_hifi_gan|SIG_raw_bigvgan|SIG_raw_hifi_gan|BAK_raw_bigvgan|BAK_raw_hifi_gan|OVRL_bigvgan|OVRL_hifi_gan|SIG_bigvgan|SIG_hifi_gan|BAK_bigvgan|BAK_hifi_gan|P808_MOS_bigvgan|P808_MOS_hifi_gan|plcmos_target_init_bigvgan|plcmos_target_init_hifi_gan|LSD_init_bigvgan|LSD_init_hifi_gan|STOI_init_bigvgan|STOI_init_hifi_gan|PESQ_init_bigvgan|PESQ_init_hifi_gan|WER_bigvgan|WER_hifi_gan|trans_bigvgan|trans_hifi_gan|num_wrong_words_bigvgan|num_wrong_words_hifi_gan|total_num_words_bigvgan|total_num_words_hifi_gan|plcmos_pred_bigvgan|plcmos_pred_hifi_gan|LSD_bigvgan|LSD_hifi_gan|STOI_bigvgan|STOI_hifi_gan|PESQ_bigvgan|PESQ_hifi_gan|mel_text_false_wer
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=30_skip=75_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_69|22.2222|6|27|in the modern well constructed play he simply rings up an imaginary confederate and tells him what he is going to do could anything be more natural|in the modern world well constructed he simply brings up an imaginary confederate and tells him what he is going to do could any of this be more natural|1.9756|3.482|3.8678|3.7261|3.1092|3.4708|3.7655|3.6428|3.4206|3.1777|4.0182|3.8867|3.4956|3.2121|3.0694|2.9071|3.5549|3.4817|3.6157|3.412|4.1413|3.9574|3.4272|3.2772|3.9682|3.9182|3.5783|3.3694|3.0738|2.9749|3.5273|3.4995|3.6714|3.5303|4.0605|3.7625|3.709|3.699|5.885|5.873|0.642|0.654|1.241|1.215|14.815|14.815|in the modern and well constructed wiley he simply brings up an imaginary confederate and tells them what he is going to do could anything be more natural|in the modern and well constructed wylie he simply brings up an imaginary confederate and tells them what he is going to do could anything be more natural|4|4|27|27|3.647|3.647|1.378|1.46|0.821|0.821|1.803|1.71|14.8148
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=30_skip=75_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1962|8.3333|2|24|the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail|the dark light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its winding tail|2.3206|3.5462|3.7273|4.1755|3.1508|3.3891|4.0274|3.5912|4.1418|4.107|4.3507|4.2975|4.5087|4.5152|3.5054|3.486|3.7273|3.701|4.1825|4.1853|4.0219|4.1583|4.0772|4.107|4.3058|4.2968|4.483|4.4991|3.4692|3.486|3.7051|3.7006|4.1716|4.1785|3.9021|4.0594|4.098|4.39|5.675|5.705|0.614|0.634|1.249|1.213|0.0|0.0|the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail|the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail|0|0|24|24|4.14|4.263|1.392|1.524|0.859|0.855|1.902|1.787|4.1667
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=30_skip=75_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1885|9.6774|3|31|it was a serious crime indeed mister watson told them and tom gates bade fair to serve a lengthy term in state is prison as a consequence of his rash act|it was a serious crime indeed mister watson told them and tom gate bade fair to have a lengthy term in the state is prison as a consequence of his rash act|2.0596|3.2272|3.5135|3.8014|2.9412|3.258|3.8183|3.5598|3.4554|3.2555|4.0201|3.9368|3.5648|3.3681|3.0925|2.9603|3.5561|3.51|3.667|3.5301|4.0384|3.9299|3.5874|3.3906|4.0822|4.103|3.684|3.3821|3.1769|3.0502|3.5896|3.6007|3.7451|3.5401|3.9909|4.076|3.594|3.663|6.199|6.293|0.73|0.776|1.381|1.354|6.452|6.452|it was a serious crime indeed mister watson told them and tom gates obeyed fair to serve a lengthy term in the state is prison as a consequence of his rash act|it was a serious crime indeed mister watson told them and tom gates made fair to serve a lengthy term in the state is prison as a consequence of his rash act|2|2|31|31|3.586|3.598|1.421|1.482|0.876|0.873|2.022|2.075|9.6774
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=30_skip=75_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_2162|20.0|6|30|we have always thought that it was sometimes a courageous act and at least a simple and useful deed worthy of the sympathetic attention which duty accepted and fulfilled merits|we have always thought that it was sometimes a courageous act and at least it was simple and useful indeed worthy of the sympathetic attention to which duty was accepted in fulfilled merits|2.0473|3.0178|3.3072|3.7075|2.7947|3.1229|3.7536|3.5283|3.2152|3.21|3.8336|3.7511|3.3709|3.4107|2.9325|2.9293|3.451|3.4031|3.5304|3.56|3.9881|4.0359|3.2408|3.3803|3.8594|3.8821|3.3229|3.5505|2.9496|3.0414|3.4647|3.4764|3.4964|3.6554|3.9503|4.109|4.135|4.133|6.181|6.319|0.577|0.602|1.273|1.247|0.0|0.0|we have always thought that it was sometimes a courageous act and at least a simple and useful deed worthy of the sympathetic attention which duty accepted and fulfilled merits|we have always thought that it was sometimes a courageous act and at least a simple and useful deed worthy of the sympathetic attention which duty accepted and fulfilled merits|0|0|30|30|4.069|4.106|1.322|1.419|0.859|0.859|2.056|2.001|0.0
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=30_skip=75_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_317|15.1515|5|33|on the contrary he resolved to tell them that repenting of his violence and moved by her tears he had only carried her half way towards his house and then let her go|on the contrary he resolved to tell them that repressing of his violence and moved by fears he had only carried her halfway towards his house and then let her go|3.0638|3.7358|4.0479|4.1135|3.2688|3.5712|3.9952|3.9786|4.1378|4.1435|4.3257|4.3548|4.5221|4.5377|3.5031|3.5063|3.715|3.7293|4.1882|4.1947|4.1141|4.2524|3.8048|4.1032|4.2367|4.3661|3.918|4.3313|3.3106|3.4838|3.6703|3.7348|3.8874|4.1036|4.0245|4.189|4.448|4.44|5.695|5.737|0.702|0.708|1.319|1.288|6.061|6.061|on the contrary he resolved to tell them that repenting of his violence and moved by fears he had only carried her half way towards his house and then let her go|on the contrary he resolved to tell them that repenting of his violence and moved by fears he had only carried her half way towards his house and then let her go|2|2|33|33|4.461|4.538|1.769|1.83|0.881|0.882|1.688|1.663|6.0606
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=30_skip=75_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1861|11.1111|4|36|this was the 1st occasion within a generation when such an entertainment had been given at elmhurst and the only one within the memory of man where the neighbors and country people had been invited guests|this was the 1st occasion within a generation when such entertainment had been given at elmhurst and the only one within the memory of man were the neighbors and people had been the invited guests|1.9013|2.6323|3.032|3.258|2.513|2.9329|3.4454|3.5899|3.311|3.3726|3.7766|3.8348|3.5422|3.6159|2.9953|3.038|3.416|3.4515|3.6494|3.7007|3.987|4.1419|3.0807|3.738|3.6515|4.066|3.2248|4.0722|2.8329|3.27|3.3406|3.5803|3.396|3.973|4.0519|4.1348|3.598|3.553|6.209|6.211|0.695|0.723|1.327|1.279|5.556|8.333|this was the 1st occasion within a generation when such an entertainment had been given at elmhurst and the only one within the memory of man or the neighbors and country people had been the invited guests|this was the 1st occasion within a generation when such entertainment had been given at elmhurst and the only one within the memory of man or the neighbors and country people had been the invited guests|2|3|36|36|3.859|3.88|1.359|1.434|0.879|0.871|1.87|1.803|2.7778
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=30_skip=75_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_80|16.6667|3|18|he reckoned therefore not only upon ascertaining the extent of the late catastrophe but upon learning its cause|he wrecked therefore not only upon ascertaining the extent of the living catastrophe but upon its cause|2.3535|3.4447|3.7398|3.9522|3.0851|3.3959|3.9062|3.2897|3.6847|3.5416|4.2358|4.1177|3.7044|3.5264|3.2371|3.1477|3.6698|3.6083|3.7554|3.6409|3.8848|3.9869|3.6167|3.4461|4.2359|4.1326|3.5752|3.3817|3.195|3.086|3.6699|3.6162|3.6724|3.5384|3.8459|3.9985|2.962|3.439|5.583|5.617|0.654|0.683|1.313|1.284|11.111|11.111|he reckoned therefore not only upon ascertaining the extent of the little catastrophe but upon knowing its cause|he reckoned therefore not only upon ascertaining the extent of the little catastrophe but upon knowing its cause|2|2|18|18|3.052|3.415|1.201|1.31|0.86|0.86|1.855|1.845|11.1111
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=30_skip=75_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_304|17.9487|7|39|time rolled on the hour of her delivery arrived it took place in the utmost secrecy her mother taking upon her the office of midwife and she gave birth to a son one of the most beautiful ever seen|time rolled on and the hour of her diary arrived in her place in the most secrecy her mother taking upon her office of midwife as she gave birth to a son one of the most beautiful ever seen|2.4944|3.8715|4.081|4.2799|3.349|3.5882|4.0748|3.4296|3.9599|4.0799|4.3259|4.3064|4.1323|4.4667|3.4017|3.4706|3.7151|3.7053|4.0003|4.1637|4.0404|4.0467|4.0191|4.1027|4.3648|4.3452|4.2209|4.4558|3.4355|3.4833|3.734|3.7243|4.0449|4.159|4.0631|4.0849|4.57|4.55|5.353|5.427|0.648|0.661|1.318|1.264|7.692|12.82|time rolled on the hour of her delivery arrived and took place in utmost secrecy her mother taking upon her office of midwife and she gave birth to a son one of the most beautiful ever seen|time rolled on then the hour of her delivery arrived and took place in utmost secrecy her mother taking upon her office of midwife as she gave birth to a son one of the most beautiful ever seen|3|5|39|39|4.668|4.6|1.901|1.926|0.849|0.843|1.783|1.791|2.5641
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=30_skip=75_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1816|3.3333|1|30|a gramophone by the help of suitable records might relate to us the incidents of its past and people are not so different from gramophones as they like to believe|a gramophone by the help of suitable records might relate to the incidents of its past and people are not so different from gramophones as they like to believe|2.5175|3.8916|3.9981|4.5136|3.3621|3.5437|4.1846|3.6498|3.8271|4.0836|4.1534|4.2501|4.1321|4.5083|3.324|3.4728|3.6273|3.6771|4.0049|4.1824|3.9343|4.0972|3.9187|3.9937|4.1503|4.1862|4.3052|4.3778|3.3779|3.4216|3.6254|3.6443|4.0907|4.125|3.8774|4.0544|4.149|4.202|5.446|5.496|0.717|0.741|1.395|1.314|3.333|13.333|a gramophone by the help of suitable records might relate to us the incidents of this past and people are not so different from gramophones as they like to believe|a gramophone by the help of suitable records might relate to us the incidents of this past and people having taught it so different from gramophones as they like to believe|1|4|30|30|4.236|4.254|1.478|1.608|0.91|0.899|2.159|2.223|3.3333
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=30_skip=75_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1529|8.0|2|25|he selected a small gold bottle with a pepper box top so that the powder might be sprinkled on any object through the small holes|he selected a small gold shell with a pepper mix top so that the powder might be sprinkled on any object through the small holes|3.0311|3.297|3.5638|3.8711|2.9876|3.2894|3.8577|3.5703|3.7581|3.5707|4.1282|3.9863|3.9496|3.7765|3.2822|3.166|3.6138|3.5373|3.9049|3.8023|4.0962|4.1462|3.711|3.6467|4.1163|4.0643|3.877|3.7978|3.2529|3.2136|3.6074|3.5797|3.8618|3.8148|4.0656|4.1548|4.632|4.46|6.344|6.444|0.652|0.679|1.305|1.286|4.0|4.0|he selected a small gold shell with a pepper box top so that the powder might be sprinkled on any object through the small holes|he selected a small gold shell with a pepper box top so that the powder might be sprinkled on any object through the small holes|1|1|25|25|4.55|4.429|1.566|1.592|0.874|0.878|1.714|1.685|4.0
