sample_path|masked_WER|masked_num_wrong_words|total_masked_num_words|true_trans|masked_trans|masked_plcmos|masked_OVRL_raw|masked_SIG_raw|masked_BAK_raw|masked_OVRL|masked_SIG|masked_BAK|masked_P808_MOS|target_OVRL_raw_bigvgan|target_OVRL_raw_hifi_gan|target_SIG_raw_bigvgan|target_SIG_raw_hifi_gan|target_BAK_raw_bigvgan|target_BAK_raw_hifi_gan|target_OVRL_bigvgan|target_OVRL_hifi_gan|target_SIG_bigvgan|target_SIG_hifi_gan|target_BAK_bigvgan|target_BAK_hifi_gan|target_P808_MOS_bigvgan|target_P808_MOS_hifi_gan|OVRL_raw_bigvgan|OVRL_raw_hifi_gan|SIG_raw_bigvgan|SIG_raw_hifi_gan|BAK_raw_bigvgan|BAK_raw_hifi_gan|OVRL_bigvgan|OVRL_hifi_gan|SIG_bigvgan|SIG_hifi_gan|BAK_bigvgan|BAK_hifi_gan|P808_MOS_bigvgan|P808_MOS_hifi_gan|plcmos_target_init_bigvgan|plcmos_target_init_hifi_gan|LSD_init_bigvgan|LSD_init_hifi_gan|STOI_init_bigvgan|STOI_init_hifi_gan|PESQ_init_bigvgan|PESQ_init_hifi_gan|WER_bigvgan|WER_hifi_gan|trans_bigvgan|trans_hifi_gan|num_wrong_words_bigvgan|num_wrong_words_hifi_gan|total_num_words_bigvgan|total_num_words_hifi_gan|plcmos_pred_bigvgan|plcmos_pred_hifi_gan|LSD_bigvgan|LSD_hifi_gan|STOI_bigvgan|STOI_hifi_gan|PESQ_bigvgan|PESQ_hifi_gan|mel_text_false_wer
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=20_skip=50_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p1_ctc-weight=0p3/w1=1_w2=0.5_asr_start=320_mask=True/sample_2162|6.6667|2|30|we have always thought that it was sometimes a courageous act and at least a simple and useful deed worthy of the sympathetic attention which duty accepted and fulfilled merits|we have always thought that it was sometimes a courageous act and at least a simple and useful deed worthy of the sympathetic attention which duty excepted in fulfilled merits|1.8799|2.959|3.3821|3.2169|2.7525|3.1728|3.3976|3.5218|3.2152|3.21|3.8336|3.7511|3.3709|3.4107|2.9325|2.9293|3.451|3.4031|3.5304|3.56|3.9881|4.0359|3.1347|3.3871|3.8119|3.8425|3.1595|3.6247|2.8767|3.0476|3.4381|3.4563|3.3713|3.7049|3.8943|4.0424|4.135|4.133|5.477|5.578|0.67|0.684|1.25|1.232|0.0|0.0|we have always thought that it was sometimes a courageous act and at least a simple and useful deed worthy of the sympathetic attention which duty accepted and fulfilled merits|we have always thought that it was sometimes a courageous act and at least a simple and useful deed worthy of the sympathetic attention which duty accepted and fulfilled merits|0|0|30|30|3.867|3.981|1.341|1.457|0.895|0.895|1.983|1.851|0.0
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=20_skip=50_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p1_ctc-weight=0p3/w1=1_w2=0.5_asr_start=320_mask=True/sample_1962|0.0|0|24|the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail|the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail|2.211|3.7632|4.024|4.1625|3.2855|3.5582|4.0207|3.7425|4.1418|4.107|4.3507|4.2975|4.5087|4.5152|3.5054|3.486|3.7273|3.701|4.1825|4.1853|4.0219|4.1583|4.0756|4.1385|4.2959|4.3271|4.4831|4.5472|3.4683|3.5035|3.7002|3.7157|4.1717|4.1986|3.9898|4.197|4.098|4.39|4.795|4.831|0.715|0.731|1.194|1.185|0.0|0.0|the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail|the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail|0|0|24|24|4.014|4.295|1.252|1.455|0.897|0.895|1.853|1.837|4.1667
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=20_skip=50_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p1_ctc-weight=0p3/w1=1_w2=0.5_asr_start=320_mask=True/sample_317|18.1818|6|33|on the contrary he resolved to tell them that repenting of his violence and moved by her tears he had only carried her half way towards his house and then let her go|on the contrary he resolved to tell them that he was repenting of his violence and moving by a tear he had only carried her half way towards the house and then let her go|2.4898|3.707|3.9654|4.0922|3.2513|3.526|3.984|3.8938|4.1378|4.1435|4.3257|4.3548|4.5221|4.5377|3.5031|3.5063|3.715|3.7293|4.1882|4.1947|4.1141|4.2524|4.1184|4.1166|4.3236|4.3112|4.4568|4.5185|3.4923|3.4913|3.7139|3.7078|4.1603|4.1867|4.1392|4.1128|4.448|4.44|5.019|5.031|0.644|0.649|1.15|1.126|24.242|24.242|on the contrary he resolved to tell them that repenting on his violence and move why a tear he had only carried her halfway towards the house and then let her go|on the contrary he resolved to tell them that repenting on his violence and move by a tear she had only carried her halfway towards the house and then let her go|8|8|33|33|4.479|4.538|1.589|1.66|0.885|0.892|1.797|1.795|15.1515
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=20_skip=50_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p1_ctc-weight=0p3/w1=1_w2=0.5_asr_start=320_mask=True/sample_1885|16.129|5|31|it was a serious crime indeed mister watson told them and tom gates bade fair to serve a lengthy term in state is prison as a consequence of his rash act|it was a serious crime indeed mister watson told him tom gates made failure to serve a lengthy term in the state is prison as a consequence of his rash act|1.6608|3.5106|3.8407|3.9715|3.1281|3.4554|3.9179|3.6824|3.4554|3.2555|4.0201|3.9368|3.5648|3.3681|3.0925|2.9603|3.5561|3.51|3.667|3.5301|4.0384|3.9299|3.2486|3.3612|4.0148|4.1218|3.1849|3.3041|2.9557|3.0309|3.5531|3.6106|3.3934|3.4833|4.0377|4.1|3.594|3.663|5.625|5.728|0.647|0.697|1.231|1.195|9.677|9.677|it was a serious crime deed mister watson told him and tom gates bade fair to serve a lengthy term in the state is prison as a consequence of his rash act|it was a serious crime deed mister watson told him and tom gates bade fair to serve a lengthy term in the state is prison as a consequence of his rash act|3|3|31|31|3.484|3.597|1.278|1.382|0.898|0.895|1.937|1.873|16.129
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=20_skip=50_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p1_ctc-weight=0p3/w1=1_w2=0.5_asr_start=320_mask=True/sample_69|3.7037|1|27|in the modern well constructed play he simply rings up an imaginary confederate and tells him what he is going to do could anything be more natural|in the modern well constructed play he simply rings up an imagined confederate and tells him what he is going to do could anything be more natural|1.8368|3.4363|3.8883|3.5346|3.0792|3.4818|3.6449|3.7687|3.4206|3.1777|4.0182|3.8867|3.4956|3.2121|3.0694|2.9071|3.5549|3.4817|3.6157|3.412|4.1413|3.9574|3.3151|3.1446|4.0041|3.8312|3.3184|3.2151|3.0|2.8846|3.5472|3.4499|3.4919|3.4163|4.0627|3.953|3.709|3.699|5.216|5.199|0.573|0.599|1.137|1.114|0.0|0.0|in the modern well constructed play he simply rings up an imaginary confederate and tells him what he is going to do could anything be more natural|in the modern well constructed play he simply rings up an imaginary confederate and tells him what he is going to do could anything be more natural|0|0|27|27|3.911|3.888|1.253|1.395|0.889|0.888|1.789|1.772|0.0
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=20_skip=50_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p1_ctc-weight=0p3/w1=1_w2=0.5_asr_start=320_mask=True/sample_80|0.0|0|18|he reckoned therefore not only upon ascertaining the extent of the late catastrophe but upon learning its cause|he reckoned therefore not only upon ascertaining the extent of the late catastrophe but upon learning its cause|1.8577|3.4722|3.8091|3.9245|3.1032|3.4371|3.8904|3.3658|3.6847|3.5416|4.2358|4.1177|3.7044|3.5264|3.2371|3.1477|3.6698|3.6083|3.7554|3.6409|3.8848|3.9869|3.9385|3.6527|4.3048|4.0937|4.1474|3.7908|3.3897|3.2176|3.7046|3.5957|4.0128|3.8114|3.8335|3.9137|2.962|3.439|4.827|4.875|0.619|0.646|1.207|1.186|0.0|0.0|he reckoned therefore not only upon ascertaining the extent of the late catastrophe but upon learning its cause|he reckoned therefore not only upon ascertaining the extent of the late catastrophe but upon learning its cause|0|0|18|18|2.885|3.108|1.306|1.431|0.88|0.874|1.815|1.844|0.0
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=20_skip=50_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p1_ctc-weight=0p3/w1=1_w2=0.5_asr_start=320_mask=True/sample_1861|19.4444|7|36|this was the 1st occasion within a generation when such an entertainment had been given at elmhurst and the only one within the memory of man where the neighbors and country people had been invited guests|this is the 1st occasion within a generation when such entertainment had been given at elmhurst and only when within the memory of men were the neighbors and country people had been the invited guests|1.4891|3.2856|3.7344|3.6306|2.9795|3.3917|3.7088|3.653|3.311|3.3726|3.7766|3.8348|3.5422|3.6159|2.9953|3.038|3.416|3.4515|3.6494|3.7007|3.987|4.1419|3.1217|3.3104|3.8396|3.8428|3.1126|3.4286|2.8674|2.9954|3.4546|3.4556|3.3263|3.568|4.0745|4.1213|3.598|3.553|5.371|5.361|0.715|0.743|1.212|1.187|11.111|11.111|this was the 1st occasion within a generation when such entertainment had been given at elmhurst and that only went within the memory of man where the neighbors and country people had been the invited guests|this was the 1st occasion within a generation when such entertainment had been given at elmhurst and that only went within the memory of man where the neighbors and country people had been the invited guests|4|4|36|36|3.401|3.522|1.3|1.432|0.9|0.901|1.701|1.717|8.3333
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=20_skip=50_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p1_ctc-weight=0p3/w1=1_w2=0.5_asr_start=320_mask=True/sample_1809|3.7037|1|27|this distinction is vital to the understanding of memory but it is not so easy to carry out in practice as it is to draw in theory|this distinction is vital to the understanding of memory but it is not so easy to carry out human practice as it is to draw in theory|2.1214|3.6109|3.8342|4.1685|3.1916|3.4517|4.0238|3.762|4.0327|3.9534|4.2531|4.1439|4.4084|4.4509|3.444|3.3984|3.6786|3.6223|4.1389|4.1577|4.1376|4.1071|4.0849|3.9871|4.2765|4.1968|4.4824|4.4292|3.4735|3.4179|3.6904|3.6498|4.1713|4.1482|3.9203|3.9937|4.256|4.397|4.985|5.032|0.656|0.687|1.255|1.196|0.0|0.0|this distinction is vital to the understanding of memory but it is not so easy to carry out in practice as it is to draw in theory|this distinction is vital to the understanding of memory but it is not so easy to carry out in practice as it is to draw in theory|0|0|27|27|4.179|4.396|1.287|1.412|0.896|0.894|1.911|2.113|0.0
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=20_skip=50_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p1_ctc-weight=0p3/w1=1_w2=0.5_asr_start=320_mask=True/sample_1816|6.6667|2|30|a gramophone by the help of suitable records might relate to us the incidents of its past and people are not so different from gramophones as they like to believe|a gramophone by the help of suitable records might relate to others the incidence of its past and people are not so different from gramophones as they like to believe|2.2119|3.4395|3.6566|4.0936|3.0819|3.3464|3.9838|3.5815|3.8271|4.0836|4.1534|4.2501|4.1321|4.5083|3.324|3.4728|3.6273|3.6771|4.0049|4.1824|3.9343|4.0972|3.7464|3.8157|4.0913|4.0831|4.0676|4.2329|3.2753|3.3171|3.5944|3.59|3.9699|4.0561|4.054|4.0817|4.149|4.202|4.653|4.678|0.69|0.716|1.2|1.154|3.333|3.333|a gramophone by the help of suitable records might relate to us the incidence of its past and people are not so different from gramophones as they like to believe|a gramophone by the help of suitable records might relate to us the incidence of its past and people are not so different from gramophones as they like to believe|1|1|30|30|3.906|4.145|1.316|1.455|0.914|0.916|1.872|1.941|0.0
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=20_skip=50_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p1_ctc-weight=0p3/w1=1_w2=0.5_asr_start=320_mask=True/sample_1529|20.0|5|25|he selected a small gold bottle with a pepper box top so that the powder might be sprinkled on any object through the small holes|he collected a small gold ball with a box top so the powder would be sprinkled on any object through the small holes|2.1814|3.3006|3.661|3.6381|2.9903|3.3491|3.7139|3.5597|3.7581|3.5707|4.1282|3.9863|3.9496|3.7765|3.2822|3.166|3.6138|3.5373|3.9049|3.8023|4.0962|4.1462|3.8765|3.7037|4.1654|4.0734|4.2133|3.9688|3.3531|3.2491|3.6335|3.5848|4.0445|3.9158|4.043|4.0858|4.632|4.46|5.424|5.511|0.605|0.615|1.193|1.165|8.0|8.0|he selected a small gold bottle with a pair box top so that the powder could be sprinkled on any object through the small holes|he selected a small gold bottle with a pair box top so that the powder could be sprinkled on any object through the small holes|2|2|25|25|4.546|4.347|1.237|1.351|0.876|0.874|1.581|1.644|8.0
