sample_path|masked_WER|masked_num_wrong_words|total_masked_num_words|true_trans|masked_trans|masked_plcmos|masked_OVRL_raw|masked_SIG_raw|masked_BAK_raw|masked_OVRL|masked_SIG|masked_BAK|masked_P808_MOS|target_OVRL_raw_bigvgan|target_OVRL_raw_hifi_gan|target_SIG_raw_bigvgan|target_SIG_raw_hifi_gan|target_BAK_raw_bigvgan|target_BAK_raw_hifi_gan|target_OVRL_bigvgan|target_OVRL_hifi_gan|target_SIG_bigvgan|target_SIG_hifi_gan|target_BAK_bigvgan|target_BAK_hifi_gan|target_P808_MOS_bigvgan|target_P808_MOS_hifi_gan|OVRL_raw_bigvgan|OVRL_raw_hifi_gan|SIG_raw_bigvgan|SIG_raw_hifi_gan|BAK_raw_bigvgan|BAK_raw_hifi_gan|OVRL_bigvgan|OVRL_hifi_gan|SIG_bigvgan|SIG_hifi_gan|BAK_bigvgan|BAK_hifi_gan|P808_MOS_bigvgan|P808_MOS_hifi_gan|plcmos_target_init_bigvgan|plcmos_target_init_hifi_gan|LSD_init_bigvgan|LSD_init_hifi_gan|STOI_init_bigvgan|STOI_init_hifi_gan|PESQ_init_bigvgan|PESQ_init_hifi_gan|WER_bigvgan|WER_hifi_gan|trans_bigvgan|trans_hifi_gan|num_wrong_words_bigvgan|num_wrong_words_hifi_gan|total_num_words_bigvgan|total_num_words_hifi_gan|plcmos_pred_bigvgan|plcmos_pred_hifi_gan|LSD_bigvgan|LSD_hifi_gan|STOI_bigvgan|STOI_hifi_gan|PESQ_bigvgan|PESQ_hifi_gan|mel_text_false_wer
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=20_skip=50_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_2162|6.6667|2|30|we have always thought that it was sometimes a courageous act and at least a simple and useful deed worthy of the sympathetic attention which duty accepted and fulfilled merits|we have always thought that it was sometimes a courageous act and at least a simple and useful deed worthy of the sympathetic attention which duty excepted in fulfilled merits|1.8799|2.959|3.3821|3.2169|2.7525|3.1728|3.3976|3.5218|3.2152|3.21|3.8336|3.7511|3.3709|3.4107|2.9325|2.9293|3.451|3.4031|3.5304|3.56|3.9881|4.0359|3.0697|3.3811|3.7549|3.8457|3.1335|3.616|2.8322|3.0436|3.405|3.4578|3.3521|3.6999|3.8804|4.0178|4.135|4.133|5.477|5.578|0.67|0.684|1.25|1.232|0.0|0.0|we have always thought that it was sometimes a courageous act and at least a simple and useful deed worthy of the sympathetic attention which duty accepted and fulfilled merits|we have always thought that it was sometimes a courageous act and at least a simple and useful deed worthy of the sympathetic attention which duty accepted and fulfilled merits|0|0|30|30|3.909|4.019|1.361|1.477|0.897|0.895|1.976|1.9|0.0
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=20_skip=50_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1885|16.129|5|31|it was a serious crime indeed mister watson told them and tom gates bade fair to serve a lengthy term in state is prison as a consequence of his rash act|it was a serious crime indeed mister watson told him tom gates made failure to serve a lengthy term in the state is prison as a consequence of his rash act|1.6608|3.5106|3.8407|3.9715|3.1281|3.4554|3.9179|3.6824|3.4554|3.2555|4.0201|3.9368|3.5648|3.3681|3.0925|2.9603|3.5561|3.51|3.667|3.5301|4.0384|3.9299|3.139|3.2434|4.0157|4.0303|3.0144|3.2572|2.8807|2.9522|3.5536|3.5616|3.2582|3.4483|3.9676|4.092|3.594|3.663|5.625|5.728|0.647|0.697|1.231|1.195|9.677|9.677|it was a serious crime deed mister watson told him and tom gates bade fair to serve a lengthy term in the state is prison as a consequence of his rash act|it was a serious crime deed mister watson told him and tom gates bade fair to serve a lengthy term in the state is prison as a consequence of his rash act|3|3|31|31|3.483|3.607|1.292|1.4|0.896|0.89|1.792|1.782|9.6774
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=20_skip=50_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_69|3.7037|1|27|in the modern well constructed play he simply rings up an imaginary confederate and tells him what he is going to do could anything be more natural|in the modern well constructed play he simply rings up an imagined confederate and tells him what he is going to do could anything be more natural|1.8368|3.4363|3.8883|3.5346|3.0792|3.4818|3.6449|3.7687|3.4206|3.1777|4.0182|3.8867|3.4956|3.2121|3.0694|2.9071|3.5549|3.4817|3.6157|3.412|4.1413|3.9574|3.3702|3.3508|4.0777|4.0538|3.3333|3.3161|3.0362|3.0239|3.5871|3.5743|3.5002|3.4917|4.037|3.9431|3.709|3.699|5.216|5.199|0.573|0.599|1.137|1.114|0.0|0.0|in the modern well constructed play he simply rings up an imaginary confederate and tells him what he is going to do could anything be more natural|in the modern well constructed play he simply rings up an imaginary confederate and tells him what he is going to do could anything be more natural|0|0|27|27|3.81|3.781|1.263|1.404|0.888|0.885|1.725|1.648|0.0
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=20_skip=50_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_80|0.0|0|18|he reckoned therefore not only upon ascertaining the extent of the late catastrophe but upon learning its cause|he reckoned therefore not only upon ascertaining the extent of the late catastrophe but upon learning its cause|1.8577|3.4722|3.8091|3.9245|3.1032|3.4371|3.8904|3.3658|3.6847|3.5416|4.2358|4.1177|3.7044|3.5264|3.2371|3.1477|3.6698|3.6083|3.7554|3.6409|3.8848|3.9869|3.8445|3.694|4.2487|4.192|4.0586|3.704|3.3342|3.2431|3.6763|3.6473|3.9654|3.7556|3.7434|3.9289|2.962|3.439|4.827|4.875|0.619|0.646|1.207|1.186|0.0|0.0|he reckoned therefore not only upon ascertaining the extent of the late catastrophe but upon learning its cause|he reckoned therefore not only upon ascertaining the extent of the late catastrophe but upon learning its cause|0|0|18|18|2.926|3.311|1.277|1.419|0.886|0.88|1.829|1.827|0.0
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=20_skip=50_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_317|18.1818|6|33|on the contrary he resolved to tell them that repenting of his violence and moved by her tears he had only carried her half way towards his house and then let her go|on the contrary he resolved to tell them that he was repenting of his violence and moving by a tear he had only carried her half way towards the house and then let her go|2.4898|3.707|3.9654|4.0922|3.2513|3.526|3.984|3.8938|4.1378|4.1435|4.3257|4.3548|4.5221|4.5377|3.5031|3.5063|3.715|3.7293|4.1882|4.1947|4.1141|4.2524|4.1555|4.1223|4.3474|4.3283|4.5291|4.5096|3.5129|3.4945|3.7256|3.7163|4.1911|4.1829|4.109|4.1735|4.448|4.44|5.019|5.031|0.644|0.649|1.15|1.126|18.182|18.182|on the contrary he resolved to tell them that repenting of his violence and moved by a tear she had only carried her halfway towards the house and then let her go|on the contrary he resolved to tell them that repenting of his violence and moved by a tear she had only carried her halfway towards the house and then let her go|6|6|33|33|4.485|4.487|1.583|1.66|0.887|0.894|1.812|1.773|12.1212
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=20_skip=50_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1861|19.4444|7|36|this was the 1st occasion within a generation when such an entertainment had been given at elmhurst and the only one within the memory of man where the neighbors and country people had been invited guests|this is the 1st occasion within a generation when such entertainment had been given at elmhurst and only when within the memory of men were the neighbors and country people had been the invited guests|1.4891|3.2856|3.7344|3.6306|2.9795|3.3917|3.7088|3.653|3.311|3.3726|3.7766|3.8348|3.5422|3.6159|2.9953|3.038|3.416|3.4515|3.6494|3.7007|3.987|4.1419|3.2152|3.3817|3.7565|3.9133|3.3455|3.5097|2.9325|3.0443|3.4063|3.4966|3.5105|3.6297|4.107|4.1238|3.598|3.553|5.371|5.361|0.715|0.743|1.212|1.187|11.111|8.333|this was the 1st occasion within a generation when such entertainment had been given at elmhurst and the only way within the memory of man were the neighbors and country people had been the invited guests|this was the 1st occasion within a generation when such entertainment had been given at elmhurst and the only way within the memory of man where the neighbors and country people had been the invited guests|4|3|36|36|3.652|3.697|1.281|1.422|0.9|0.902|1.786|1.742|8.3333
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=20_skip=50_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1962|0.0|0|24|the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail|the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail|2.211|3.7632|4.024|4.1625|3.2855|3.5582|4.0207|3.7425|4.1418|4.107|4.3507|4.2975|4.5087|4.5152|3.5054|3.486|3.7273|3.701|4.1825|4.1853|4.0219|4.1583|4.0846|4.1864|4.3193|4.3799|4.4849|4.5524|3.4734|3.53|3.7118|3.7415|4.1724|4.2007|3.9884|4.1676|4.098|4.39|4.795|4.831|0.715|0.731|1.194|1.185|0.0|0.0|the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail|the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail|0|0|24|24|4.002|4.253|1.262|1.455|0.897|0.892|1.863|1.875|4.1667
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=20_skip=50_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_304|23.0769|9|39|time rolled on the hour of her delivery arrived it took place in the utmost secrecy her mother taking upon her the office of midwife and she gave birth to a son one of the most beautiful ever seen|the time rolled on the hour of delivery arrived and the place in the atman secrecy her mother took upon her the office of my wife as she gave birth to a son one of the most beautiful ever seen|2.2249|3.7601|4.0189|4.1717|3.2836|3.5554|4.0245|3.5543|3.9599|4.0799|4.3259|4.3064|4.1323|4.4667|3.4017|3.4706|3.7151|3.7053|4.0003|4.1637|4.0404|4.0467|4.0239|4.1816|4.3292|4.4132|4.2565|4.4717|3.4383|3.5272|3.7166|3.7575|4.065|4.166|3.9897|4.0155|4.57|4.55|4.799|4.833|0.654|0.68|1.211|1.19|5.128|5.128|time rolled on the hour of her delivery arrived and took place in the utmost secrecy her mother taking upon her the office of midwife as she gave birth to a son one of the most beautiful ever seen|time rolled on the hour of her delivery arrived and took place in the utmost secrecy her mother taking upon her the office of midwife as she gave birth to a son one of the most beautiful ever seen|2|2|39|39|4.602|4.576|1.526|1.616|0.875|0.874|1.74|1.709|5.1282
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=20_skip=50_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1809|3.7037|1|27|this distinction is vital to the understanding of memory but it is not so easy to carry out in practice as it is to draw in theory|this distinction is vital to the understanding of memory but it is not so easy to carry out human practice as it is to draw in theory|2.1214|3.6109|3.8342|4.1685|3.1916|3.4517|4.0238|3.762|4.0327|3.9534|4.2531|4.1439|4.4084|4.4509|3.444|3.3984|3.6786|3.6223|4.1389|4.1577|4.1376|4.1071|4.1609|4.0382|4.3348|4.2238|4.5057|4.4687|3.5159|3.4471|3.7194|3.6637|4.1813|4.1654|3.8927|3.9155|4.256|4.397|4.985|5.032|0.656|0.687|1.255|1.196|0.0|0.0|this distinction is vital to the understanding of memory but it is not so easy to carry out in practice as it is to draw in theory|this distinction is vital to the understanding of memory but it is not so easy to carry out in practice as it is to draw in theory|0|0|27|27|4.199|4.346|1.298|1.422|0.896|0.893|1.905|2.079|0.0
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=20_skip=50_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p5_ctc-weight=0p1_bs=80/w1=1_w2=0.5_asr_start=320_mask=True/sample_1529|20.0|5|25|he selected a small gold bottle with a pepper box top so that the powder might be sprinkled on any object through the small holes|he collected a small gold ball with a box top so the powder would be sprinkled on any object through the small holes|2.1814|3.3006|3.661|3.6381|2.9903|3.3491|3.7139|3.5597|3.7581|3.5707|4.1282|3.9863|3.9496|3.7765|3.2822|3.166|3.6138|3.5373|3.9049|3.8023|4.0962|4.1462|3.9129|3.7031|4.2118|4.0772|4.1865|3.9224|3.3746|3.2486|3.6575|3.5868|4.0323|3.8888|4.0227|4.1117|4.632|4.46|5.424|5.511|0.605|0.615|1.193|1.165|8.0|8.0|he selected a small gold bottle with a power box top so that the powder could be sprinkled on any object through the small holes|he selected a small gold bottle with a power box top so that the powder could be sprinkled on any object through the small holes|2|2|25|25|4.524|4.203|1.225|1.354|0.886|0.879|1.579|1.604|8.0
