sample_path|masked_WER|masked_num_wrong_words|total_masked_num_words|true_trans|masked_trans|masked_plcmos|masked_OVRL_raw|masked_SIG_raw|masked_BAK_raw|masked_OVRL|masked_SIG|masked_BAK|masked_P808_MOS|target_OVRL_raw_bigvgan|target_OVRL_raw_hifi_gan|target_SIG_raw_bigvgan|target_SIG_raw_hifi_gan|target_BAK_raw_bigvgan|target_BAK_raw_hifi_gan|target_OVRL_bigvgan|target_OVRL_hifi_gan|target_SIG_bigvgan|target_SIG_hifi_gan|target_BAK_bigvgan|target_BAK_hifi_gan|target_P808_MOS_bigvgan|target_P808_MOS_hifi_gan|OVRL_raw_bigvgan|OVRL_raw_hifi_gan|SIG_raw_bigvgan|SIG_raw_hifi_gan|BAK_raw_bigvgan|BAK_raw_hifi_gan|OVRL_bigvgan|OVRL_hifi_gan|SIG_bigvgan|SIG_hifi_gan|BAK_bigvgan|BAK_hifi_gan|P808_MOS_bigvgan|P808_MOS_hifi_gan|plcmos_target_init_bigvgan|plcmos_target_init_hifi_gan|LSD_init_bigvgan|LSD_init_hifi_gan|STOI_init_bigvgan|STOI_init_hifi_gan|PESQ_init_bigvgan|PESQ_init_hifi_gan|WER_bigvgan|WER_hifi_gan|trans_bigvgan|trans_hifi_gan|num_wrong_words_bigvgan|num_wrong_words_hifi_gan|total_num_words_bigvgan|total_num_words_hifi_gan|plcmos_pred_bigvgan|plcmos_pred_hifi_gan|LSD_bigvgan|LSD_hifi_gan|STOI_bigvgan|STOI_hifi_gan|PESQ_bigvgan|PESQ_hifi_gan
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=50_skip=150_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p3_ctc-weight=0p1/w1=1_w2=0.5_asr_start=320_mask=True/sample_317|27.2727|9|33|on the contrary he resolved to tell them that repenting of his violence and moved by her tears he had only carried her half way towards his house and then let her go|on the contrary he resolved to tell them that repenting of his actions and moved by a tear he carried her halfway towards her and then let her go|3.3625|4.0103|4.2279|4.433|3.4312|3.6658|4.1498|3.8672|4.1378|4.1435|4.3257|4.3548|4.5221|4.5377|3.5031|3.5063|3.715|3.7293|4.1882|4.1947|4.1141|4.2524|4.2448|4.211|4.4118|4.4202|4.5718|4.533|3.5618|3.5434|3.7569|3.7609|4.2086|4.1927|4.0576|4.1769|4.448|4.44|5.578|5.566|0.685|0.708|1.547|1.447|33.333|33.333|on the contrary he resolved to tell them that repenting of his own thoughts and moved by a tear sub lake carried her halfway towards himself and then let her go|on the contrary he resolved to tell them that repenting of his own thoughts and moved by a tear sublai carried her halfway towards himself and then let her go|11|11|33|33|4.7|4.655|1.772|1.759|0.86|0.859|2.052|2.022
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=50_skip=150_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p3_ctc-weight=0p1/w1=1_w2=0.5_asr_start=320_mask=True/sample_1885|22.5806|7|31|it was a serious crime indeed mister watson told them and tom gates bade fair to serve a lengthy term in state is prison as a consequence of his rash act|it was a serious crime indeed mister watson told them and to the states bade fair to serve a layman in the state is prison as a cause of his rash act|2.3284|3.4133|3.744|3.8759|3.0651|3.399|3.8629|3.6469|3.4554|3.2555|4.0201|3.9368|3.5648|3.3681|3.0925|2.9603|3.5561|3.51|3.667|3.5301|4.0384|3.9299|3.2067|3.2969|3.8956|3.9597|3.2369|3.4103|2.9272|2.9881|3.4868|3.5228|3.433|3.5604|3.9479|3.84|3.594|3.663|6.619|6.716|0.708|0.754|1.482|1.445|19.355|19.355|it was a serious crime indeed that mister watson told them and today it is bade fair to serve a lengthy term in the state is prison as a cause of his rash act|it was a serious crime indeed that mister watson told them and today it is bade fair to serve a lengthy term in the state is prison as a cause of his rash act|6|6|31|31|3.501|3.55|1.505|1.56|0.844|0.841|1.852|1.864
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=50_skip=150_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p3_ctc-weight=0p1/w1=1_w2=0.5_asr_start=320_mask=True/sample_80|11.1111|2|18|he reckoned therefore not only upon ascertaining the extent of the late catastrophe but upon learning its cause|he reckoned therefore not upon ascertaining the extent of the state catastrophe but upon learning its cause|2.6385|3.5764|3.8901|4.036|3.1699|3.4836|3.9536|3.3361|3.6847|3.5416|4.2358|4.1177|3.7044|3.5264|3.2371|3.1477|3.6698|3.6083|3.7554|3.6409|3.8848|3.9869|3.7021|3.5474|4.1961|4.0931|3.7223|3.5939|3.2474|3.1506|3.6494|3.5953|3.7662|3.6822|3.869|3.8529|2.962|3.439|5.716|5.775|0.651|0.662|1.486|1.442|11.111|11.111|he reckoned therefore nalding upon ascertaining the extent of the late catastrophe but upon learning its cause|he reckoned therefore nalmy upon ascertaining the extent of the late catastrophe but upon learning its cause|2|2|18|18|3.168|3.596|1.296|1.355|0.824|0.811|1.85|1.878
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=50_skip=150_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p3_ctc-weight=0p1/w1=1_w2=0.5_asr_start=320_mask=True/sample_1861|22.2222|8|36|this was the 1st occasion within a generation when such an entertainment had been given at elmhurst and the only one within the memory of man where the neighbors and country people had been invited guests|this was the 1st occasion within a generation when entertainment had been given 1st and the only one in the memory of man where the country people had been the invited guests|2.9806|3.6488|3.9388|4.1309|3.2149|3.511|4.0024|3.7547|3.311|3.3726|3.7766|3.8348|3.5422|3.6159|2.9953|3.038|3.416|3.4515|3.6494|3.7007|3.987|4.1419|3.5155|3.5171|3.9348|3.897|3.7418|3.8209|3.1277|3.1319|3.5064|3.4875|3.7761|3.8274|3.9657|4.103|3.598|3.553|6.327|6.341|0.722|0.757|1.648|1.542|25.0|25.0|this was the 1st occasion within a generation where human entertainment had been given to the 1st and the only one in the memory of man where the names and country people had been the invited guests|this was the 1st occasion within a generation where human entertainment had been given to the 1st and the only one in the memory of man where the names and country people had been the invited guests|9|9|36|36|3.666|3.661|1.451|1.505|0.865|0.861|2.079|2.084
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=50_skip=150_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p3_ctc-weight=0p1/w1=1_w2=0.5_asr_start=320_mask=True/sample_2162|16.6667|5|30|we have always thought that it was sometimes a courageous act and at least a simple and useful deed worthy of the sympathetic attention which duty accepted and fulfilled merits|we have always thought that it was sometimes a courageous act and at least a simple and useful deed were the sympathetic attention to the duty accepted in fulfilled merits|2.9846|3.131|3.5605|3.4109|2.8743|3.2871|3.5535|3.5358|3.2152|3.21|3.8336|3.7511|3.3709|3.4107|2.9325|2.9293|3.451|3.4031|3.5304|3.56|3.9881|4.0359|3.1176|3.1142|3.7012|3.718|3.3033|3.2339|2.8646|2.8613|3.3729|3.3826|3.4782|3.4249|3.8555|3.9832|4.135|4.133|6.321|6.463|0.667|0.686|1.616|1.514|10.0|10.0|we have always thought that it was sometimes a righteous act and at least a simple and useful deed worthy of the sympathetic attention or duty accepted in fulfilled merits|we have always thought that it was sometimes a righteous act and at least a simple and useful deed worthy of the sympathetic attention or duty accepted in fulfilled merits|3|3|30|30|3.627|3.866|1.468|1.506|0.828|0.825|2.16|2.041
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=50_skip=150_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p3_ctc-weight=0p1/w1=1_w2=0.5_asr_start=320_mask=True/sample_69|22.2222|6|27|in the modern well constructed play he simply rings up an imaginary confederate and tells him what he is going to do could anything be more natural|in the modern well constructed way he simply rings up a ordinary confederate and tells him what he should do could anything be more natural|3.1235|3.5216|3.8714|3.9284|3.135|3.4727|3.8933|4.031|3.4206|3.1777|4.0182|3.8867|3.4956|3.2121|3.0694|2.9071|3.5549|3.4817|3.6157|3.412|4.1413|3.9574|3.418|3.0786|4.0132|3.7841|3.532|3.1739|3.0676|2.8387|3.5522|3.4224|3.6413|3.3835|4.1591|3.9521|3.709|3.699|5.666|5.64|0.722|0.739|1.511|1.371|11.111|11.111|in the modern well constructed way he simply rings up an imaginary confederate and tells him what he wants to do could anything be more natural|in the modern well constructed way he simply rings up an imaginary confederate and tells him what he wants to do could anything be more natural|3|3|27|27|3.632|3.683|1.328|1.382|0.854|0.85|1.95|2.004
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=50_skip=150_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p3_ctc-weight=0p1/w1=1_w2=0.5_asr_start=320_mask=True/sample_1962|12.5|3|24|the dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail|the dull light fell faintly upon the page where another equation began to unfold itself slowly and spread abroad its widening tail|3.7798|4.0627|4.2446|4.5295|3.461|3.6743|4.1913|3.9874|4.1418|4.107|4.3507|4.2975|4.5087|4.5152|3.5054|3.486|3.7273|3.701|4.1825|4.1853|4.0219|4.1583|4.1748|4.205|4.3602|4.3729|4.5423|4.5759|3.5236|3.5401|3.7319|3.7381|4.1966|4.2103|4.1192|4.208|4.098|4.39|5.319|5.357|0.705|0.723|1.636|1.442|16.667|16.667|the dull light felled faintly upon the page whereas another equation began to unfold itself slowly and spread abroad its widening tail|the dull light felled faintly upon the page whereas another equation began to unfold itself slowly and spread abroad its widening tail|4|4|24|24|4.234|4.491|1.232|1.282|0.91|0.919|2.506|2.558
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=50_skip=150_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p3_ctc-weight=0p1/w1=1_w2=0.5_asr_start=320_mask=True/sample_1816|40.0|12|30|a gramophone by the help of suitable records might relate to us the incidents of its past and people are not so different from gramophones as they like to believe|a gramophone by its suitable records might release the incidence of its pattern and people are not certain from gramophones as to believe|3.2493|3.695|3.898|4.2765|3.243|3.4876|4.076|3.5402|3.8271|4.0836|4.1534|4.2501|4.1321|4.5083|3.324|3.4728|3.6273|3.6771|4.0049|4.1824|3.9343|4.0972|3.8032|4.051|4.1267|4.2286|4.1434|4.4786|3.3094|3.4543|3.6131|3.6661|4.0099|4.1697|3.9|4.0189|4.149|4.202|6.05|6.066|0.676|0.69|1.472|1.364|10.0|10.0|a gramophone by the most suitable records might relate to us the incidents of its past and people are not so different from gramophones as they seem to believe|a gramophone by the most suitable records might relate to us the incidents of its past and people are not so different from gramophones as they seem to believe|3|3|30|30|4.055|4.076|1.622|1.669|0.814|0.812|2.011|2.003
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=50_skip=150_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p3_ctc-weight=0p1/w1=1_w2=0.5_asr_start=320_mask=True/sample_304|20.5128|8|39|time rolled on the hour of her delivery arrived it took place in the utmost secrecy her mother taking upon her the office of midwife and she gave birth to a son one of the most beautiful ever seen|time rolled on the hour of her delivery arrived it took place in the utmost mercy her mother taken care of her the office of midwife she gave birth to a son most beautiful ever seen|3.9796|4.0052|4.1685|4.5194|3.4282|3.6352|4.187|3.7429|3.9599|4.0799|4.3259|4.3064|4.1323|4.4667|3.4017|3.4706|3.7151|3.7053|4.0003|4.1637|4.0404|4.0467|3.8403|3.7705|4.2761|4.1087|3.9484|4.0776|3.3314|3.2895|3.6901|3.6034|3.9005|3.9698|3.985|4.099|4.57|4.55|5.157|5.219|0.737|0.767|1.788|1.688|7.692|7.692|time rolled on the hour of her delivery arrived it took place in the utmost urgency her mother takened upon her the office of midwife she gave birth to a son one of the most beautiful ever seen|time rolled on the hour of her delivery arrived it took place in the utmost urgency her mother takened upon her the office of midwife she gave birth to a son one of the most beautiful ever seen|3|3|39|39|4.556|4.578|1.838|1.841|0.878|0.883|2.174|2.214
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=50_skip=150_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p3_ctc-weight=0p1/w1=1_w2=0.5_asr_start=320_mask=True/sample_1529|12.0|3|25|he selected a small gold bottle with a pepper box top so that the powder might be sprinkled on any object through the small holes|he selected a small model with a pepper box top so that the powder might be sprinkled on the object through the small holes|3.8693|3.6387|3.9155|4.154|3.2085|3.4979|4.0141|3.7177|3.7581|3.5707|4.1282|3.9863|3.9496|3.7765|3.2822|3.166|3.6138|3.5373|3.9049|3.8023|4.0962|4.1462|3.8138|3.5245|4.1709|3.9181|4.0639|3.7646|3.3154|3.1369|3.6362|3.4993|3.9658|3.7954|4.0506|4.1878|4.632|4.46|5.932|6.043|0.771|0.796|1.627|1.502|12.0|12.0|he selected a small green bottle with a pepper box top so that the powder might be sprinkled over the object through the small holes|he selected a small green bottle with a pepper box top so that the powder might be sprinkled over the object through the small holes|3|3|25|25|4.689|4.567|1.302|1.336|0.897|0.9|2.205|2.257
