sample_path|masked_utmos|utmos_bigvgan|utmos_hifi_gan|utmos_init_bigvgan|utmos_init_hifi_gan|mcd_bigvgan|mcd_hifi_gan|masked_mcd_bigvgan|masked_mcd_hifi_gan|masked_logf0rmse_bigvgan|masked_logf0rmse_hifi_gan|logf0rmse_bigvgan|logf0rmse_hifi_gan|speech_bleu_bigvgan|speech_bleu_hifi_gan|masked_speech_bleu_bigvgan|masked_speech_bleu_hifi_gan
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=50_skip=150_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p3_ctc-weight=0p1/w1=1_w2=0.5_asr_start=320_mask=True/sample_69|3.8114|3.2215|3.5688|3.3855|3.5939|1.8303|1.8257|4.6519|4.436|0.2301|0.1987|0.1418|0.1196|0.6946|0.7032|0.3563|0.4626
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=50_skip=150_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p3_ctc-weight=0p1/w1=1_w2=0.5_asr_start=320_mask=True/sample_80|3.5297|2.9321|3.4532|3.0097|3.6599|1.4801|1.5061|3.8499|3.5901|0.1647|0.212|0.1335|0.1156|0.7143|0.7162|0.4405|0.5141
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=50_skip=150_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p3_ctc-weight=0p1/w1=1_w2=0.5_asr_start=320_mask=True/sample_2162|3.5302|3.0367|3.0444|3.4473|3.6428|1.7211|1.7361|4.3214|4.4992|0.0954|0.1573|0.0841|0.1517|0.692|0.6995|0.4243|0.5126
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=50_skip=150_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p3_ctc-weight=0p1/w1=1_w2=0.5_asr_start=320_mask=True/sample_317|3.5025|3.2139|3.4605|3.3026|3.6024|1.7556|1.7041|4.0745|3.9121|0.1443|0.1696|0.0978|0.0856|0.6815|0.722|0.4665|0.5754
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=50_skip=150_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p3_ctc-weight=0p1/w1=1_w2=0.5_asr_start=320_mask=True/sample_1861|3.6863|2.8346|3.4802|2.9384|3.7765|1.7746|1.83|4.1245|3.7907|0.5846|0.4344|0.2067|0.1514|0.7339|0.7258|0.4287|0.5645
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=50_skip=150_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p3_ctc-weight=0p1/w1=1_w2=0.5_asr_start=320_mask=True/sample_1885|3.2893|2.9201|2.9887|3.2515|3.4674|1.8659|1.966|4.6977|4.5795|0.2166|0.5209|0.3002|0.1745|0.699|0.6785|0.4474|0.5506
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=50_skip=150_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p3_ctc-weight=0p1/w1=1_w2=0.5_asr_start=320_mask=True/sample_1962|3.9727|3.5472|3.6542|3.5785|3.7188|1.1956|1.2132|4.0236|3.9295|0.1591|0.2044|0.1797|0.0983|0.7513|0.7344|0.3472|0.5522
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=50_skip=150_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p3_ctc-weight=0p1/w1=1_w2=0.5_asr_start=320_mask=True/sample_1529|3.9105|3.086|3.6008|3.4775|4.0005|1.5254|1.7161|4.9366|4.9131|0.2239|0.2655|0.071|0.1213|0.7095|0.7232|0.488|0.5611
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=50_skip=150_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p3_ctc-weight=0p1/w1=1_w2=0.5_asr_start=320_mask=True/sample_304|3.7877|3.2172|3.4002|3.4677|3.7928|1.5986|1.5684|3.2789|3.2985|0.1471|0.1239|0.106|0.139|0.6695|0.6214|0.4322|0.5557
DiT_Anechoic_LibSp_conditional-masked-melspec_w-masked-pix=1/dit-net_dim768_depth18_heads12_dim-head64_dropout0.1_ff_mult2_T400_betaT0.02/repeat_all_freq-length=50_skip=150_cp=112000_mel_text=False_phoneme-without-space_g2p-no-nn_lm-weight=0p3_ctc-weight=0p1/w1=1_w2=0.5_asr_start=320_mask=True/sample_1816|3.4563|3.3277|3.7896|3.3922|4.1233|1.6475|1.7675|4.0049|3.7818|0.2085|0.1757|0.1796|0.1414|0.6345|0.6261|0.3663|0.4649
